Recipe Name,Materials Needed [1],Obtained From [1],Item Sell Price [1]
Acorn Pochette,6x acorn,Balloon during Autumn,2400
Apple Dress,8x apple,Sisterly island resident Message in a bottle,1600
Apple Hat,5x apple,Sisterly island resident Message in a bottle,1000
Apple Umbrella,7x apple,Sisterly island resident Message in a bottle,1400
Armor Shoes,4x iron nugget,Cranky island resident Message in a bottle,3000
Bamboo Hat,10x clump of weeds,Cranky island resident Message in a bottle,200
Basket Pack,6x young spring bamboo,Balloon during Spring,2400
Blue Rose Crown,6x blue roses,Any island resident Message in a bottle,12000
Bunny Day Bag,1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg,Any island resident during Bunny Day,2400
Bunny Day Crown,1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg,Any island resident during Bunny Day,2400
Cherry-Blossom Pochette,6x cherry-blossom petal,Balloon during Cherry Blossom Season,2400
Cherry-Blossom Umbrella,7x cherry-blossom petal,Balloon during Cherry Blossom Season,2800
Cherry Dress,8x cherry,Peppy island resident Message in a bottle,1600
Cherry Hat,5x cherry,Peppy island resident Message in a bottle,1000
Cherry Umbrella,7x cherry,Peppy island resident Message in a bottle,1400
Chic Mum Crown,3x purple mums3x pink mums,Any island resident Message in a bottle,960
Chic Rose Crown,3x purple roses3x black roses,Any island resident Message in a bottle,2880
Chic Tulip Crown,2x purple tulips2x pink tulips1x orange tulips,Any island resident Message in a bottle,1440
Cool Hyacinth Crown,4x blue hyacinths2x pink hyacinths2x orange hyacinths,Any island resident Message in a bottle,1280
Cool Pansy Crown,3x orange pansies3x blue pansies,Any island resident Message in a bottle,960
Cool Windflower Crown,3x blue windflowers3x pink windflowers,Any island resident Message in a bottle,960
Cosmos Crown,2x red cosmos2x yellow cosmos3x white cosmos,Any island resident Message in a bottle,480
Cute Lily Crown,2x pink lilies2x orange lilies2x white lilies,Any island resident Message in a bottle,800
Cute Rose Crown,3x pink roses3x orange roses,Any island resident Message in a bottle,960
Dark Cosmos Crown,7x black cosmos,Any island resident Message in a bottle,3360
Dark Lily Crown,6x black lilies,Any island resident Message in a bottle,960
Dark Tulip Crown,5x black tulips,Any island resident Message in a bottle,800
Earth-Egg Outfit,3x earth egg,Digging up earth eggs,1200
Earth-Egg Shell,2x earth egg,Digging up earth eggs,800
Earth-Egg Shoes,2x earth egg,Digging up earth eggs,800
Egg Party Dress,3x earth egg3x stone egg3x leaf egg3x wood egg3x sky egg3x water egg,Unlock recipes for all six Bunny Day egg outfits,7200
Egg Party Hat,2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg,Unlock recipes for all six Bunny Day egg outfits,4800
Gold Armor,8x gold nugget,Smug island resident Message in a bottle,80000
Gold-Armor Shoes,4x gold nugget,Smug island resident Message in a bottle,40000
Gold Helmet,5x gold nugget,Smug island resident Message in a bottle,50000
Gold Rose Crown,6x gold roses,Any island resident Message in a bottle,12000
Grass Skirt,7x clump of weeds,Normal island resident Message in a bottle,140
Green Grass Skirt,7x clump of weeds,Peppy island resident Message in a bottle,140
Hyacinth Crown,4x red hyacinths2x yellow hyacinths2x white hyacinths,Any island resident Message in a bottle,640
Iron Armor,8x iron nugget,Cranky island resident Message in a bottle,6000
Knight'S Helmet,5x iron nugget,Cranky island resident Message in a bottle,3750
Knitted-Grass Backpack,20x clump of weeds,Normal island resident Message in a bottle,400
Leaf,5x clump of weeds,Jock island resident Message in a bottle,100
Leaf Mask,10x clump of weeds,Peppy island resident Message in a bottle,200
Leaf Umbrella,15x clump of weeds,Sisterly island resident Message in a bottle,300
Leaf-Egg Outfit,3x leaf egg,Gather leaf eggs by shaking trees,1200
Leaf-Egg Shell,2x leaf egg,Gather leaf eggs by shaking trees,800
Leaf-Egg Shoes,2x leaf egg,Gather leaf eggs by shaking trees,800
Lily Crown,2x red lilies2x yellow lilies2x white lilies,Any island resident Message in a bottle,480
Log Pack,3x wood5x hardwood,Jock island resident Message in a bottle,960
Lovely Cosmos Crown,4x pink cosmos3x orange cosmos,Any island resident Message in a bottle,1120
Maple-Leaf Pochette,6x maple leaf,Balloon during Maple Leaf Season,2400
Maple-Leaf Umbrella,7x maple leaf,Balloon during Maple Leaf Season,2800
Mum Crown,2x red mums2x yellow mums2x white mums,Any island resident Message in a bottle,480
Mush Umbrella,3x flat mushroom,Balloon during Mushrooming Season,1200
Orange Dress,8x orange,Lazy island resident Message in a bottle,1600
Orange Hat,5x orange,Lazy island resident Message in a bottle,1000
Orange Umbrella,7x orange,Lazy island resident Message in a bottle,1400
Pansy Crown,2x red pansies2x yellow pansies2x white pansies,Any island resident Message in a bottle,480
Peach Dress,8x peach,Normal island resident Message in a bottle,1600
Peach Hat,5x peach,Normal island resident Message in a bottle,1000
Peach Umbrella,7x peach,Normal island resident Message in a bottle,1400
Pear Dress,8x pear,Jock island resident Message in a bottle,1600
Pear Hat,5x pear,Jock island resident Message in a bottle,1000
Pear Umbrella,7x pear,Jock island resident Message in a bottle,1400
Purple Hyacinth Crown,6x purple hyacinths,Any island resident Message in a bottle,2880
Purple Pansy Crown,6x purple pansies,Any island resident Message in a bottle,2880
Purple Windflower Crown,6x purple windflowers,Any island resident Message in a bottle,2880
Recycled Boots,2x boot,Fishing up a boot,40
Rose Crown,2x red roses2x yellow roses2x white roses,Any island resident Message in a bottle,480
Shellfish Pochette,2x giant clam6x summer shell,Balloon during Summer,10800
Simple Mum Crown,6x green mums,Any island resident Message in a bottle,2880
Sky-Egg Outfit,3x sky egg,Shooting down sky eggs,1200
Sky-Egg Shell,2x sky egg,Shooting down sky eggs,800
Sky-Egg Shoes,2x sky egg,Shooting down sky eggs,800
Snowflake Pochette,6x snowflake,Balloon during Winter,2400
Snowperson Head,1x large snowflake5x snowflake,Make a perfect Snowboy,7000
Star Head,5x star fragment,Celeste,2500
Star Pochette,6x star fragment,Celeste,3000
Stone-Egg Outfit,3x stone egg,Gather stone eggs by hitting rocks,1200
Stone-Egg Shell,2x stone egg,Gather stone eggs by hitting rocks,800
Stone-Egg Shoes,2x stone egg,Gather stone eggs by hitting rocks,800
Straw Umbrella Hat,10x clump of weeds,Smug island resident Message in a bottle,200
Traditional Straw Coat,8x clump of weeds,Normal island resident Message in a bottle,160
Tulip Crown,2x red tulips2x yellow tulips1x white tulips,Any island resident Message in a bottle,400
Water-Egg Outfit,3x water egg,Fishing up water Eggs,1200
Water-Egg Shell,2x water egg,Fishing up water Eggs,800
Water-Egg Shoes,2x water egg,Fishing up water Eggs,800
Windflower Crown,2x red windflowers2x orange windflowers2x white windflowers,Any island resident Message in a bottle,480
Wood-Egg Outfit,3x wood egg,Gather wood eggs by hitting trees with an axe,1200
Wood-Egg Shell,2x wood egg,Gather wood eggs by hitting trees with an axe,800
Wood-Egg Shoes,2x wood egg,Gather wood eggs by hitting trees with an axe,800
